Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2017-09-13,42.49,42.69,42.22,42.45,,68801.0,2921240.0,,,
2017-09-12,43.21,43.34,42.62,42.73,,52828.0,2259924.0,,,
2017-09-11,42.81,42.89,42.56,42.85,,103273.0,4415614.0,,,
2017-09-08,42.7,42.75,42.56,42.67,,59881.0,2553977.0,,,
2017-09-07,43.0,43.02,42.67,42.77,,64320.0,2751388.0,,,
2017-09-06,42.66,42.71,42.34,42.55,,71006.0,3020229.0,,,
2017-09-05,43.0,43.19,42.55,42.62,,66351.0,2846115.0,,,
2017-09-04,42.38,42.75,41.95,42.6,,105288.0,4471634.0,,,
2017-09-01,42.16,43.06,42.07,42.41,,151474.0,6453558.0,,,
2017-08-31,42.0,42.08,41.12,41.9,,157888.0,6580200.0,,,
2017-08-30,42.0,42.2,41.49,41.94,,97804.0,4090262.0,,,
2017-08-29,41.71,41.98,41.33,41.85,,98156.0,4094452.0,,,
2017-08-28,42.11,42.25,41.86,41.91,,47130.0,1978704.0,,,
2017-08-25,42.64,42.64,42.05,42.14,,69734.0,2948016.0,,,
2017-08-24,42.72,43.05,42.63,42.69,,65213.0,2792319.0,,,
2017-08-23,42.82,43.17,42.6,42.71,,70269.0,3011578.0,,,
2017-08-22,42.46,42.96,42.4,42.71,,95376.0,4075646.0,,,
2017-08-21,42.42,42.76,42.2,42.26,,68812.0,2922972.0,,,
2017-08-18,42.28,42.6,42.01,42.41,,72886.0,3092377.0,,,
2017-08-17,41.88,43.01,41.76,42.5,,131361.0,5583704.0,,,
2017-08-16,42.4,42.62,41.98,42.05,,104676.0,4408312.0,,,
2017-08-15,42.53,42.53,42.2,42.28,,64334.0,2721852.0,,,
2017-08-14,42.12,42.69,42.01,42.3,,127682.0,5416963.0,,,
2017-08-11,41.3,41.94,40.96,41.94,,183412.0,7604144.0,,,
2017-08-10,41.73,41.99,41.14,41.68,,175161.0,7303562.0,,,
2017-08-09,43.5,43.5,41.64,41.81,,355857.0,15003956.0,,,
2017-08-08,44.9,45.09,44.15,44.37,,156168.0,6941408.0,,,
2017-08-07,45.85,46.34,44.02,44.96,,164543.0,7378816.0,,,
2017-08-04,45.13,45.13,44.36,45.07,,96202.0,4306911.0,,,
2017-08-03,45.34,45.54,44.91,44.97,,77854.0,3517146.0,,,
2017-08-02,45.25,45.77,44.9,45.56,,187468.0,8528548.0,,,
2017-08-01,45.24,45.54,45.1,45.45,,74975.0,3399891.0,,,
2017-07-31,44.94,45.75,44.94,45.3,,62672.0,2844210.0,,,
2017-07-28,45.26,45.29,44.75,44.97,,114006.0,5127247.0,,,
2017-07-27,45.16,45.45,45.15,45.25,,50557.0,2290284.0,,,
2017-07-26,44.91,45.33,44.46,45.16,,81970.0,3688510.0,,,
2017-07-25,44.7,45.04,44.63,44.82,,112224.0,5033312.0,,,
2017-07-24,45.31,45.31,44.49,44.61,,104282.0,4661866.0,,,
2017-07-21,45.57,45.88,45.04,45.44,,73422.0,3334695.0,,,
2017-07-20,45.74,45.96,45.23,45.66,,87399.0,3986488.0,,,
2017-07-19,45.06,45.72,44.94,45.57,,71971.0,3273001.0,,,
2017-07-18,45.5,45.55,44.7,45.0,,104003.0,4684627.0,,,
2017-07-17,45.6,46.23,45.29,45.6,,104995.0,4801806.0,,,
2017-07-14,45.07,45.56,44.83,45.53,,67375.0,3054060.0,,,
2017-07-13,44.67,45.18,44.67,44.95,,82745.0,3718928.0,,,
2017-07-12,44.29,45.05,43.89,44.95,,115705.0,5133971.0,,,
2017-07-11,44.94,44.94,44.08,44.2,,90538.0,4010457.0,,,
2017-07-10,44.64,45.18,44.51,44.7,,71868.0,3221218.0,,,
2017-07-07,44.79,44.79,44.25,44.53,,47999.0,2136578.0,,,
2017-07-06,45.5,45.5,44.15,44.62,,66116.0,2952605.0,,,
2017-07-05,44.67,45.36,44.44,45.19,,48706.0,2189436.0,,,
2017-07-04,45.83,45.83,44.74,44.8,,50549.0,2273551.0,,,
2017-07-03,45.29,45.83,45.06,45.75,,71381.0,3251502.0,,,
2017-06-30,45.01,45.74,45.0,45.44,,136112.0,6187148.0,,,
2017-06-29,45.73,45.81,45.11,45.2,,134965.0,6132452.0,,,
2017-06-28,46.68,46.68,45.41,45.68,,117165.0,5381488.0,,,
2017-06-27,47.23,47.33,46.39,46.83,,82492.0,3866344.0,,,
2017-06-26,46.95,47.63,46.91,47.21,,73322.0,3465639.0,,,
2017-06-23,47.29,47.4,46.79,46.99,,80586.0,3792498.0,,,
2017-06-22,47.03,47.4,46.75,47.29,,56071.0,2640508.0,,,
2017-06-21,47.46,47.48,46.53,46.99,,89752.0,4206563.0,,,
2017-06-20,46.48,47.43,46.27,47.37,,108334.0,5109730.0,,,
2017-06-19,46.9,46.9,46.25,46.64,,70056.0,3260381.0,,,
2017-06-16,45.66,46.8,45.66,46.63,,202214.0,9411695.0,,,
2017-06-15,46.34,46.34,45.21,45.67,,101733.0,4635593.0,,,
2017-06-14,46.52,46.86,46.05,46.33,,83741.0,3881453.0,,,
2017-06-13,46.5,46.51,46.03,46.32,,107644.0,4981185.0,,,
2017-06-12,47.31,47.43,45.89,46.31,,112942.0,5238390.0,,,
2017-06-09,46.77,47.44,46.55,47.44,,99674.0,4702170.0,,,
2017-06-08,47.8,47.8,46.27,46.27,,1945.0,90599.0,,,
2017-06-07,47.01,47.43,47.01,47.43,,1081.0,51021.0,,,
2017-06-06,47.12,47.45,46.21,47.43,,686.0,32083.0,,,
2017-06-02,46.8,46.99,46.72,46.99,,290.0,13584.0,,,
2017-06-01,46.12,46.52,45.89,46.52,,106513.0,4930686.0,,,
2017-05-31,45.22,46.26,45.22,45.86,,522.0,24044.0,,,
2017-05-30,45.05,46.02,45.05,46.02,,587.0,26792.0,,,
